Título,Detalhes,Link Página Edital,PDFs
Comando da Aeronáutica,Aeronáutica anuncia novo Processo Seletivo para o curso de formação de sargentos,https://www.pciconcursos.com.br/noticias/aeronautica-anuncia-novo-processo-seletivo-para-o-curso-de-formacao-de-sargentos,['https://arq.pciconcursos.com.br/aeronautica-anuncia-novo-processo-seletivo-para-o-curso-de-formacao-de-sargentos/1668576/c1484af02d/edital_de_abertura_n_01_2026_1668576.pdf']
Ibama - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,Ibama anuncia abertura de Concurso Público com 460 vagas,https://www.pciconcursos.com.br/noticias/ibama-anuncia-abertura-de-concurso-publico-com-460-vagas,['https://arq.pciconcursos.com.br/ibama-anuncia-abertura-de-concurso-publico-com-460-vagas/1669009/7094d257f6/edital_de_abertura_n_01_2025_1669009.pdf']
Marinha do Brasil (CPAEAM),Marinha do Brasil divulga Concurso Público com 800 vagas para Aprendizes-Marinheiros,https://www.pciconcursos.com.br/noticias/marinha-do-brasil-divulga-concurso-publico-com-800-vagas-para-aprendizes-marinheiros,['https://arq.pciconcursos.com.br/marinha-do-brasil-divulga-concurso-publico-com-800-vagas-para-aprendizes-marinheiros/1666599/1046e1d71b/edital_de_abertura_1666599.pdf']
MPU - Ministério Público da União,MPU retifica Concurso com 172 vagas para Analistas e Técnicos,https://www.pciconcursos.com.br/noticias/mpu-retifica-concurso-com-172-vagas-para-analistas-e-tecnicos,"['https://arq.pciconcursos.com.br/mpu-retifica-concurso-com-172-vagas-para-analistas-e-tecnicos/1668098/c3415d7815/edital_de_abertura_n_01_2025_1668098.pdf', 'https://arq.pciconcursos.com.br/mpu-retifica-concurso-com-172-vagas-para-analistas-e-tecnicos/1668673/546582047d/retificacao_i_1668673.pdf']"
AEB - Agência Espacial Brasileira,"Agência Espacial Brasileira retifica Concurso Público com salários de até R$ 10,8 mil",https://www.pciconcursos.com.br/noticias/agencia-espacial-brasileira-retifica-concurso-publico-com-salarios-de-ate-10-8-mil,"['https://arq.pciconcursos.com.br/agencia-espacial-brasileira-retifica-concurso-publico-com-salarios-de-ate-10-8-mil/1667852/6b0b10a8ec/edital_de_abertura_n_1_1667852.pdf', 'https://arq.pciconcursos.com.br/agencia-espacial-brasileira-retifica-concurso-publico-com-salarios-de-ate-10-8-mil/1668607/bca0b1a951/retificacao_i_1668607.pdf']"
EBSERH - Empresa Brasileira de Serviços Hospitalares,EBSERH retifica um dos Concursos Públicos com 347 vagas para diversas áreas,https://www.pciconcursos.com.br/noticias/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas,"['https://arq.pciconcursos.com.br/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas/1667514/3c4af5bba6/edital_de_abertura_n_03_2024_retificado_1667514.pdf', 'https://arq.pciconcursos.com.br/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas/1667801/d77ffed815/retificacao_i_edital_de_abertura_n_03_2024_1667801.pdf', 'https://arq.pciconcursos.com.br/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas/1668498/d54d620a74/retificacao_ii_edital_de_abertura_n_03_2024_1668498.pdf', 'https://arq.pciconcursos.com.br/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas/1667515/357d94f525/edital_de_abertura_n_04_2024_retificado_1667515.pdf', 'https://arq.pciconcursos.com.br/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas/1667802/ebae1633b4/retificacao_i_edital_de_abertura_n_04_2024_1667802.pdf']"
Empresa Brasileira de Petróleo e Gás Natural - Pré-Sal Petróleo (PPSA),"Pré-Sal Petróleo S/A realiza Concurso Público com salários de até 19,2 mil",https://www.pciconcursos.com.br/noticias/pre-sal-petroleo-s-a-realiza-concurso-publico-com-salarios-de-ate-19-2-mil,['https://arq.pciconcursos.com.br/pre-sal-petroleo-s-a-realiza-concurso-publico-com-salarios-de-ate-19-2-mil/1668993/305e4b7ac0/edital_de_abertura_n_1_2025_1668993.pdf']
FUNAI - Fundação Nacional dos Povos Indígenas,FUNAI divulga Processo Seletivo com 25 vagas para profissionais de nível superior,https://www.pciconcursos.com.br/noticias/funai-divulga-processo-seletivo-com-25-vagas-para-profissionais-de-nivel-superior,['https://arq.pciconcursos.com.br/funai-divulga-processo-seletivo-com-25-vagas-para-profissionais-de-nivel-superior/1669242/b9ef38a2d9/edital_de_abertura_n_02_2025_1669242.pdf']
ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade - Brasília,ICMBio reabre inscrições de Concurso Público com 350 vagas,https://www.pciconcursos.com.br/noticias/icmbio-reabre-inscricoes-de-concurso-publico-com-350-vagas,"['https://arq.pciconcursos.com.br/icmbio-reabre-inscricoes-de-concurso-publico-com-350-vagas/1666654/c22a48356b/edital_de_abertura_n_01_2024_1666654.pdf', 'https://arq.pciconcursos.com.br/icmbio-reabre-inscricoes-de-concurso-publico-com-350-vagas/1668399/d41e827123/reabertura_das_incricoes_1668399.pdf']"
Marinha do Brasil (C-FSD-FN),Marinha abre Concurso Público com 1.680 vagas para Soldado Fuzileiro Naval,https://www.pciconcursos.com.br/noticias/marinha-abre-concurso-publico-com-1680-vagas-para-soldado-fuzileiro-naval,['https://arq.pciconcursos.com.br/marinha-abre-concurso-publico-com-1680-vagas-para-soldado-fuzileiro-naval/1668617/3be8dca485/edital_de_abertura_1668617.pdf']
TRF - Tribunal Regional Federal - 5ª Região,TRF da 5ª Região divulga Concurso Público para Juiz Substituto,https://www.pciconcursos.com.br/noticias/trf-da-5-regiao-divulga-concurso-publico-para-juiz-substituto,"['https://arq.pciconcursos.com.br/trf-da-5-regiao-divulga-concurso-publico-para-juiz-substituto/1668483/5378ce96bf/edital_de_abertura_n_01_2025_1668483.pdf', 'https://arq.pciconcursos.com.br/trf-da-5-regiao-divulga-concurso-publico-para-juiz-substituto/1668522/826a2934b8/edital_completo_1668522.pdf']"
